Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
123, , , 748789.440, 8930603.470, 220.480, 748789.440, 8930603.470, 212.380, 0.102, 8.100, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3769, 4e6f836b-fcaf-40b3-86db-353b85d3476f, 0.0, 31.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
124, , , 748787.490, 8930605.020, 220.610, 748787.490, 8930605.020, 211.110, 0.102, 9.500, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3760, e4dd4102-2f03-4dc3-a02c-eb841e063f1b, 0.0, 48.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
125, , , 748785.530, 8930606.580, 220.710, 748785.530, 8930606.580, 210.210, 0.102, 10.500, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3741, 87a7fcee-7a42-4fa5-9496-8178c699a307, 0.0, 60.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
126, , , 748783.570, 8930608.130, 220.670, 748783.570, 8930608.130, 210.670, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3734, 8eb70e01-d829-4eab-9351-b5efbdcb34d0, 0.0, 61.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
127, , , 748781.610, 8930609.690, 220.730, 748781.610, 8930609.690, 210.730, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3718, fa2c7e90-d8ef-4b62-81ba-fe32c8143797, 0.0, 35.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
128, , , 748779.650, 8930611.240, 221.000, 748779.650, 8930611.240, 211.000, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3707, b58709fe-693e-43b1-a514-b349619204de, 0.0, 50.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
129, , , 748777.700, 8930612.800, 220.560, 748777.700, 8930612.800, 210.560, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3722, 7abb9b41-ca91-4648-96f0-8613b394e0e7, 0.0, 46.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
130, , , 748775.740, 8930614.350, 220.320, 748775.740, 8930614.350, 210.320, 0.102, 10.000, 0.000, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3711, a0d9ef26-e1e5-42b7-8f0d-7f9b9838c2a6, 0.0, 44.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
287, , , 748780.320, 8930607.430, 220.480, 748780.320, 8930607.430, 209.480, 0.140, 11.000, 0.600, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3700, f64c22c7-19e7-4d65-a6b7-851d914bed08, 0.0, 127.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
288, , , 748784.910, 8930603.810, 220.660, 748784.910, 8930603.810, 210.160, 0.140, 10.500, 0.600, 4.500, 0.000, 0.000, 0.0, 0.0, 0.000, 3727, a7f610f8-d7e1-491c-aaa6-7bf366443486, 0.0, 128.000, 0, DVT 15 m :1 ud, Booster 450:1 ud, 
